Name,Price,Rating,Description
"OnePlus Nord 5 5G (Marble Sands, 256 GB)","₹36,596",4.5,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera6800 mAh Battery1 Year Warranty
"Apple iPhone 14 (Midnight, 128 GB)","₹54,900",4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)","₹49,999",4.3,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
"OPPO Reno14 5G (Forest Green, 256 GB)","₹40,000",4.5,8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"MOTOROLA Signature (PANTONE Martini Olive, 256 GB)","₹59,999",No Rating,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"MOTOROLA Signature (PANTONE Carbon, 256 GB)","₹59,999",No Rating,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Xiaomi 14 CIVI (Aqua Blue, 512 GB)","₹39,990",4.3,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OnePlus 12 (Glacial White, 256 GB)","₹46,288",4.6,12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Full HD+ AMOLED Display50MP Rear Camera5400 mAh BatteryQualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor1 Year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"MOTOROLA Signature (PANTONE Martini Olive, 1 TB)","₹69,999",No Rating,16 GB RAM | 1 TB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"IQOO Neo 10 (Inferno Red, 256 GB)","₹40,179",4.5,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic warranty 1 year for handset and 6  months for accessories
"OnePlus 13R 5g (Astral Trail, 256 GB)","₹39,750",4.5,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"OnePlus Nord 5 5G (Phantom Grey, 256 GB)","₹36,129",4.5,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera6800 mAh Battery1 Year Warranty
"vivo V40 Pro 5G (Titanium Grey, 256 GB)","₹44,999",4.5,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"OPPO Reno14 Pro 5G (Pearl White, 256 GB)","₹49,880",4.5,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera6200 mAh BatteryDimensity 8450 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"OnePlus 12R (Iron Gray, 128 GB)","₹36,999",4.5,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
"vivo V30 Pro 5G (Classic Black, 512 GB)","₹43,999",4.5,12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Google Pixel 8a (Bay, 128 GB)","₹49,999",4.3,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
"Google Pixel 8a (Porcelain, 128 GB)","₹49,999",4.3,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
"OnePlus 13 (Midnight Ocean, 256 GB)","₹61,899",4.5,"12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
"Motorola Edge 50 Ultra 5G (Nordic Wood, 512 GB)","₹49,999",4.3,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
"vivo X80 (Cosmic Black, 128 GB)","₹49,221",4.4,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4500 mAh Lithium BatteryMediatek Dimensity 9000 Processor1 Year on Handset and 6 Months on Accessories
